,Domestic,Commercial,Public
862,920.0,200.0,500.0
863,645.0,0.0,500.0
864,394.0,0.0,500.0
865,417.0,750.0,500.0
866,432.0,0.0,500.0
867,389.0,0.0,0.0
868,376.0,0.0,0.0
869,393.0,0.0,0.0
870,411.0,0.0,0.0
871,90.0,350.0,0.0
872,120.0,400.0,0.0
873,115.0,700.0,0.0
874,115.0,400.0,0.0
875,125.0,1150.0,0.0
876,135.0,1250.0,0.0
877,155.0,1850.0,0.0
878,120.0,900.0,0.0
879,100.0,700.0,0.0
880,185.0,550.0,0.0
881,333.0,1450.0,0.0
882,1289.0,1150.0,500.0
883,1232.0,0.0,500.0
884,1278.0,950.0,500.0
885,1056.0,0.0,500.0
886,851.0,0.0,500.0
887,637.0,0.0,500.0
888,374.0,0.0,500.0
889,362.0,0.0,500.0
890,375.0,0.0,500.0
891,357.0,0.0,0.0
892,388.0,0.0,0.0
893,442.0,0.0,0.0
894,374.0,0.0,0.0
895,80.0,0.0,0.0
896,85.0,350.0,0.0
897,130.0,750.0,0.0
898,140.0,950.0,0.0
899,140.0,1300.0,0.0
900,150.0,1300.0,0.0
901,145.0,1050.0,0.0
902,150.0,1850.0,0.0
903,120.0,1250.0,0.0
904,135.0,1300.0,0.0
905,339.0,550.0,0.0
906,1155.0,700.0,500.0
907,1364.0,0.0,500.0
908,1308.0,0.0,500.0
909,1156.0,0.0,500.0
910,918.0,0.0,500.0
911,657.0,0.0,500.0
912,395.0,0.0,500.0
913,384.0,0.0,500.0
914,393.0,350.0,500.0
915,355.0,0.0,0.0
916,389.0,0.0,0.0
917,394.0,0.0,0.0
918,421.0,0.0,0.0
919,100.0,0.0,0.0
920,135.0,1450.0,0.0
921,125.0,1900.0,0.0
922,145.0,1650.0,0.0
923,120.0,1100.0,0.0
924,125.0,550.0,0.0
925,120.0,350.0,0.0
926,190.0,900.0,0.0
927,180.0,550.0,0.0
928,125.0,1450.0,0.0
929,286.0,1100.0,0.0
930,1214.0,2050.0,500.0
931,1307.0,950.0,500.0
932,1238.0,0.0,500.0
933,1130.0,750.0,500.0
934,843.0,0.0,500.0
935,683.0,0.0,500.0
936,338.0,0.0,500.0
937,362.0,0.0,500.0
938,387.0,0.0,500.0
939,401.0,0.0,0.0
940,371.0,0.0,0.0
941,376.0,0.0,0.0
942,442.0,0.0,0.0
943,95.0,700.0,0.0
944,100.0,0.0,0.0
945,110.0,900.0,0.0
946,120.0,350.0,0.0
947,85.0,2200.0,0.0
948,145.0,950.0,0.0
949,135.0,1300.0,0.0
950,130.0,2200.0,0.0
951,135.0,2200.0,0.0
952,110.0,1150.0,0.0
953,260.0,2000.0,0.0
954,1201.0,950.0,500.0
955,1258.0,950.0,500.0
956,1299.0,950.0,500.0
957,1100.0,0.0,500.0
958,816.0,0.0,500.0
959,711.0,750.0,500.0
960,410.0,0.0,500.0
961,401.0,0.0,500.0
